Batsman,Runs,Balls,4s,6s,Strike_Rates,Country
Mehidy Hasan Miraz,11,13,0,0,84.61,Bangladesh
Mosaddek Hossain,0,3,0,0,0,Bangladesh
Nurul Hasan,2,6,0,0,33.33,Bangladesh
Taskin Ahmed,10,17,1,0,58.82,Bangladesh
Hasan Mahmud,0,2,0,0,0,Bangladesh
Mustafizur Rahman,9,3,0,1,300,Bangladesh
KL Rahul,9,12,1,0,75,India
Rohit Sharma(c),53,39,4,3,135.89,India
Virat Kohli,62,44,3,2,140.9,India
Suryakumar Yadav,51,25,7,1,204,India
Vikramjit Singh,1,9,0,0,11.11,Netherlands
Max O'Dowd,16,10,3,0,160,Netherlands
Bas de Leede,16,23,0,0,69.56,Netherlands
Colin Ackermann,17,21,1,0,80.95,Netherlands
Tom Cooper,9,12,0,0,75,Netherlands
Scott Edwards(c),5,8,0,0,62.5,Netherlands
Tim Pringle,20,15,1,1,133.33,Netherlands
Logan van Beek,3,5,0,0,60,Netherlands
Shariz Ahmad,16,11,2,0,145.45,Netherlands
Fred Klaassen,0,1,0,0,0,Netherlands
Paul van Meekeren,14,6,3,0,233.33,Netherlands
Wessly Madhevere,17,13,3,0,130.76,Zimbabwe
Craig Ervine(c),19,19,2,0,100,Zimbabwe
Milton Shumba,8,10,1,0,80,Zimbabwe
Sean Williams,31,28,3,0,110.71,Zimbabwe
Sikandar Raza,9,16,1,0,56.25,Zimbabwe
Regis Chakabva,0,1,0,0,0,Zimbabwe
Ryan Burl,10,15,0,0,66.66,Zimbabwe
Luke Jongwe,0,1,0,0,0,Zimbabwe
Brad Evans,19,15,0,1,126.66,Zimbabwe
Richard Ngarava,3,2,0,0,150,Zimbabwe
Mohammad Rizwan,14,16,1,1,87.5,Pakistan
Babar Azam(c),4,9,1,0,44.44,Pakistan
Shan Masood,44,38,3,0,115.78,Pakistan
Iftikhar Ahmed,5,10,1,0,50,Pakistan
Shadab Khan,17,14,0,1,121.42,Pakistan
Haider Ali,0,1,0,0,0,Pakistan
Mohammad Nawaz,22,18,1,1,122.22,Pakistan
Mohammad Wasim,12,13,2,0,92.3,Pakistan
Shaheen Shah Afridi,1,1,0,0,100,Pakistan
Finn Allen,1,3,0,0,33.33,New Zealand
Devon Conway,1,4,0,0,25,New Zealand
Kane Williamson(c),8,13,1,0,61.53,New Zealand
Glenn Phillips,104,64,10,4,162.5,New Zealand
Daryl Mitchell,22,24,0,0,91.66,New Zealand
James Neesham,5,8,0,0,62.5,New Zealand
Mitchell Santner,11,5,0,1,220,New Zealand
Ish Sodhi,1,1,0,0,100,New Zealand
Tim Southee,4,1,1,0,400,New Zealand
Pathum Nissanka,0,5,0,0,0,Sri Lanka
Kusal Mendis,4,3,1,0,133.33,Sri Lanka
Dhananjaya de Silva,0,3,0,0,0,Sri Lanka
Charith Asalanka,4,8,0,0,50,Sri Lanka
Bhanuka Rajapaksa,34,22,3,2,154.54,Sri Lanka
Chamika Karunaratne,3,8,0,0,37.5,Sri Lanka
Dasun Shanaka(c),35,32,4,1,109.37,Sri Lanka
Wanindu Hasaranga de Silva,4,6,1,0,66.66,Sri Lanka
Maheesh Theekshana,0,3,0,0,0,Sri Lanka
Kasun Rajitha,8,21,0,0,38.09,Sri Lanka
Lahiru Kumara,4,5,1,0,80,Sri Lanka
Najmul Hossain Shanto,71,55,7,1,129.09,Bangladesh
Soumya Sarkar,0,2,0,0,0,Bangladesh
Litton Das,14,12,3,0,116.66,Bangladesh
Shakib Al Hasan(c),23,20,1,0,115,Bangladesh
Afif Hossain,29,19,1,1,152.63,Bangladesh
Mosaddek Hossain,7,10,0,0,70,Bangladesh
Nurul Hasan,1,1,0,0,100,Bangladesh
Yasir Ali,1,1,0,0,100,Bangladesh
Wessly Madhevere,4,3,1,0,133.33,Zimbabwe
Craig Ervine(c),8,7,2,0,114.28,Zimbabwe
Milton Shumba,8,15,1,0,53.33,Zimbabwe
Sean Williams,64,42,8,0,152.38,Zimbabwe
Sikandar Raza,0,3,0,0,0,Zimbabwe
Regis Chakabva,15,19,0,0,78.94,Zimbabwe
Ryan Burl,27,25,2,1,108,Zimbabwe
Brad Evans,2,2,0,0,100,Zimbabwe
Richard Ngarava,6,3,0,1,200,Zimbabwe
Blessing Muzarabani,0,2,0,0,0,Zimbabwe
Stephan Myburgh,6,11,1,0,54.54,Netherlands
Max O'Dowd,8,13,0,0,61.53,Netherlands
Bas de Leede,6,16,1,0,37.5,Netherlands
Tom Cooper,1,2,0,0,50,Netherlands
Colin Ackermann,27,27,2,0,100,Netherlands
Scott Edwards(c),15,20,1,0,75,Netherlands
Roelof van der Merwe,5,6,0,0,83.33,Netherlands
Tim Pringle,5,8,0,0,62.5,Netherlands
Logan van Beek,6,9,0,0,66.66,Netherlands
Fred Klaassen,0,1,0,0,0,Netherlands
Paul van Meekeren,7,7,0,0,100,Netherlands
Mohammad Rizwan,49,39,5,0,125.64,Pakistan
Babar Azam(c),4,5,1,0,80,Pakistan
Fakhar Zaman,20,16,3,0,125,Pakistan
Shan Masood,12,16,0,0,75,Pakistan
Iftikhar Ahmed,6,5,0,0,120,Pakistan
Shadab Khan,4,2,1,0,200,Pakistan
KL Rahul,9,14,0,1,64.28,India
Rohit Sharma(c),15,14,1,1,107.14,India
Virat Kohli,12,11,2,0,109.09,India
Suryakumar Yadav,68,40,6,3,170,India
Deepak Hooda,0,3,0,0,0,India
Hardik Pandya,2,3,0,0,66.66,India
Dinesh Karthik,6,15,0,0,40,India
Ravichandran Ashwin,7,11,0,0,63.63,India
Bhuvneshwar Kumar,4,6,0,0,66.66,India
Mohammed Shami,0,2,0,0,0,India
Arshdeep Singh,2,1,0,0,200,India
Quinton de Kock,1,3,0,0,33.33,South Africa
