Bowler,Overs,Maiden,Runs,Wickets,Economy,0s,4s,6s,Country
Gareth Delany,3.3,0,33,0,9.42,5,3,1,Ireland
George Dockrell,1,0,5,1,5,2,0,0,Ireland
Taskin Ahmed,3,0,46,1,15.33,7,6,2,Bangladesh
Mehidy Hasan Miraz,3,0,32,0,10.66,4,2,2,Bangladesh
Hasan Mahmud,4,0,36,1,9,11,3,2,Bangladesh
Mustafizur Rahman,4,0,25,0,6.25,7,1,1,Bangladesh
Mosaddek Hossain,2,0,16,0,8,5,1,1,Bangladesh
Shakib Al Hasan,3,0,33,2,11,7,1,3,Bangladesh
Afif Hossain,1,0,11,1,11,1,2,0,Bangladesh
Kagiso Rabada,3,0,24,1,8,8,1,2,South Africa
Wayne Parnell,2,0,18,0,9,3,0,1,South Africa
Anrich Nortje,3.3,0,10,4,2.85,16,1,0,South Africa
Keshav Maharaj,4,0,24,1,6,6,1,0,South Africa
Tabraiz Shamsi,4,0,20,3,5,12,0,1,South Africa
Fred Klaassen,4,0,33,1,8.25,9,2,1,Netherlands
Tim Pringle,4,0,30,0,7.5,6,3,0,Netherlands
Paul van Meekeren,4,0,32,1,8,9,3,1,Netherlands
Bas de Leede,3,0,33,0,11,6,5,1,Netherlands
Logan van Beek,4,0,45,0,11.25,3,2,3,Netherlands
Shariz Ahmad,1,0,5,0,5,2,0,0,Netherlands
Bhuvneshwar Kumar,3,2,9,2,3,14,1,0,India
Arshdeep Singh,4,0,37,2,9.25,9,6,0,India
Mohammed Shami,4,0,27,1,6.75,10,2,0,India
Axar Patel,4,0,18,2,4.5,11,0,0,India
Hardik Pandya,1,0,9,0,9,1,0,0,India
Ravichandran Ashwin,4,0,21,2,5.25,13,1,1,India
Shaheen Shah Afridi,4,0,29,0,7.25,9,3,0,Pakistan
Naseem Shah,4,0,34,0,8.5,7,4,0,Pakistan
Mohammad Wasim,4,0,24,4,6,16,2,1,Pakistan
Haris Rauf,4,1,12,1,3,15,0,0,Pakistan
Shadab Khan,4,0,23,3,5.75,8,1,0,Pakistan
Richard Ngarava,4,0,24,0,6,15,2,1,Zimbabwe
Blessing Muzarabani,4,0,18,1,4.5,11,1,0,Zimbabwe
Brad Evans,4,0,25,2,6.25,12,2,1,Zimbabwe
Sikandar Raza,4,0,25,3,6.25,13,2,1,Zimbabwe
Luke Jongwe,1,0,10,1,10,2,2,0,Zimbabwe
Sean Williams,2,0,15,0,7.5,1,0,0,Zimbabwe
Ryan Burl,1,0,7,0,7,0,0,0,Zimbabwe
Maheesh Theekshana,4,0,35,1,8.75,7,2,2,Sri Lanka
Kasun Rajitha,4,0,23,2,5.75,16,3,0,Sri Lanka
Dhananjaya de Silva,2,0,14,1,7,4,1,0,Sri Lanka
Wanindu Hasaranga de Silva,4,0,22,1,5.5,9,1,0,Sri Lanka
Lahiru Kumara,3,0,37,1,12.33,2,2,2,Sri Lanka
Chamika Karunaratne,3,0,34,0,11.33,5,3,1,Sri Lanka
Tim Southee,4,1,12,1,3,18,0,1,New Zealand
Trent Boult,4,0,13,4,3.25,18,1,0,New Zealand
Lockie Ferguson,4,0,35,1,8.75,11,4,1,New Zealand
Mitchell Santner,4,0,21,2,5.25,13,3,0,New Zealand
Ish Sodhi,3.2,0,21,2,6.3,11,2,1,New Zealand
Richard Ngarava,4,0,24,2,6,11,2,0,Zimbabwe
Blessing Muzarabani,2,0,13,2,6.5,8,3,0,Zimbabwe
Tendai Chatara,3,0,18,0,6,7,1,0,Zimbabwe
Sikandar Raza,4,0,35,1,8.75,2,2,1,Zimbabwe
Brad Evans,3,0,32,0,10.66,2,3,1,Zimbabwe
Wessly Madhevere,2,0,18,0,9,0,1,0,Zimbabwe
Sean Williams,2,0,10,1,5,4,0,0,Zimbabwe
Taskin Ahmed,4,1,19,3,4.75,15,3,0,Bangladesh
Hasan Mahmud,4,0,36,0,9,8,5,0,Bangladesh
Mosaddek Hossain,4,0,34,2,8.5,11,3,2,Bangladesh
Mustafizur Rahman,4,0,15,2,3.75,11,0,0,Bangladesh
Shakib Al Hasan,4,0,34,0,8.5,5,3,0,Bangladesh
Shaheen Shah Afridi,4,0,19,1,4.75,13,1,0,Pakistan
Naseem Shah,4,0,11,1,2.75,15,0,0,Pakistan
Mohammad Wasim,3,0,15,2,5,10,1,0,Pakistan
Haris Rauf,3,0,10,1,3.33,11,1,0,Pakistan
Shadab Khan,4,0,22,3,5.5,11,2,0,Pakistan
Mohammad Nawaz,2,0,11,0,5.5,3,0,0,Pakistan
Fred Klaassen,3,0,26,0,8.66,4,3,0,Netherlands
Paul van Meekeren,4,0,19,1,4.75,15,2,0,Netherlands
Brandon Glover,2.5,0,22,2,7.76,9,3,0,Netherlands
Tim Pringle,1,0,12,0,12,1,2,0,Netherlands
Logan van Beek,2,0,9,0,4.5,5,0,0,Netherlands
Roelof van der Merwe,1,0,7,0,7,1,0,0,Netherlands
Wayne Parnell,4,1,15,3,3.75,16,0,1,South Africa
Kagiso Rabada,4,0,26,0,6.5,13,2,1,South Africa
Lungi Ngidi,4,0,29,4,7.25,10,3,1,South Africa
Anrich Nortje,4,0,23,1,5.75,12,1,1,South Africa
Keshav Maharaj,3,0,28,0,9.33,5,3,1,South Africa
Aiden Markram,1,0,5,0,5,1,0,0,South Africa
Bhuvneshwar Kumar,3.4,0,21,0,5.72,13,2,1,India
Arshdeep Singh,4,0,25,2,6.25,13,4,0,India
Mohammed Shami,4,0,13,1,3.25,15,1,0,India
Hardik Pandya,4,0,29,1,7.25,8,3,0,India
Ravichandran Ashwin,4,0,43,1,10.75,5,1,4,India
Josh Little,4,0,21,2,5.25,13,2,0,Ireland
Mark Adair,4,0,59,0,14.75,6,7,2,Ireland
Barry McCarthy,4,0,29,3,7.25,7,2,0,Ireland
Gareth Delany,3,0,29,0,9.66,10,2,2,Ireland
Fionn Hand,1,0,15,0,15,2,0,2,Ireland
George Dockrell,4,0,24,0,6,8,0,1,Ireland
Josh Hazlewood,3,0,24,0,8,8,1,2,Australia
Pat Cummins,4,0,28,2,7,14,3,1,Australia
Glenn Maxwell,2.1,0,14,2,6.46,6,2,0,Australia
Mitchell Starc,4,1,43,2,10.75,11,8,0,Australia
Adam Zampa,4,0,19,2,4.75,9,1,0,Australia
Marcus Stoinis,1,0,6,1,6,2,0,0,Australia
Kasun Rajitha,4,0,31,1,7.75,11,2,1,Sri Lanka
Pramod Madushan,3,0,24,0,8,7,2,1,Sri Lanka
Lahiru Kumara,4,0,30,2,7.5,12,2,1,Sri Lanka
Maheesh Theekshana,4,0,33,0,8.25,5,1,1,Sri Lanka
Wanindu Hasaranga de Silva,4,0,13,3,3.25,12,0,0,Sri Lanka
Dhananjaya de Silva,1,0,9,1,9,1,1,0,Sri Lanka
Fazalhaq Farooqi,3.3,1,22,0,6.28,11,3,0,Afghanistan
Mujeeb Ur Rahman,4,0,24,2,6,12,3,0,Afghanistan
Fareed Ahmad,2,0,25,0,12.5,3,3,1,Afghanistan
Rashid Khan,4,0,31,2,7.75,10,2,1,Afghanistan
Azmatullah Omarzai,2,0,17,0,8.5,2,1,0,Afghanistan
Mohammad Nabi,2,0,16,0,8,2,0,1,Afghanistan
Gulbadin Naib,1,0,12,0,12,1,2,0,Afghanistan
Trent Boult,4,0,40,0,10,8,4,1,New Zealand
Tim Southee,4,0,43,1,10.75,9,3,3,New Zealand
Mitchell Santner,4,0,25,1,6.25,8,2,0,New Zealand
Lockie Ferguson,4,0,45,2,11.25,6,4,2,New Zealand
Ish Sodhi,4,0,23,1,5.75,10,2,0,New Zealand
Moeen Ali,1,0,4,0,4,3,0,0,England
Chris Woakes,4,0,33,2,8.25,9,1,2,England
Adil Rashid,4,0,33,0,8.25,6,0,2,England
Sam Curran,4,0,26,2,6.5,9,0,0,England
Mark Wood,3,0,25,1,8.33,8,2,1,England
Liam Livingstone,3,0,26,0,8.66,4,3,0,England
Ben Stokes,1,0,10,1,10,2,2,0,England
Fred Klaassen,4,0,17,1,4.25,17,0,1,Netherlands
Paul van Meekeren,4,0,29,3,7.25,13,3,0,Netherlands
Brandon Glover,4,1,29,2,7.25,15,2,2,Netherlands
Logan van Beek,2.2,0,17,2,7.28,8,1,1,Netherlands
Bas de Leede,4,0,14,2,3.5,11,0,0,Netherlands
Roelof van der Merwe,1,0,8,0,8,2,1,0,Netherlands
Tendai Chatara,4,0,22,0,5.5,14,4,0,Zimbabwe
Richard Ngarava,4,0,18,2,4.5,15,1,1,Zimbabwe
Blessing Muzarabani,4,0,23,2,5.75,14,2,1,Zimbabwe
Sean Williams,3,0,21,0,7,8,2,1,Zimbabwe
Sikandar Raza,1,0,6,0,6,0,0,0,Zimbabwe
Luke Jongwe,2,0,25,1,12.5,3,4,0,Zimbabwe
Taskin Ahmed,4,0,15,0,3.75,16,2,0,Bangladesh
Shoriful Islam,4,0,57,0,14.25,7,4,4,Bangladesh
Hasan Mahmud,4,0,47,3,11.75,7,6,2,Bangladesh
Mustafizur Rahman,4,0,31,0,7.75,9,4,0,Bangladesh
Shakib Al Hasan,4,0,33,2,8.25,3,2,0,Bangladesh
Bhuvneshwar Kumar,3,0,27,0,9,7,2,2,India
Arshdeep Singh,4,0,38,2,9.5,10,5,1,India
Mohammed Shami,3,0,25,1,8.33,7,2,1,India
Axar Patel,1,0,6,0,6,2,0,0,India
Ravichandran Ashwin,2,0,19,0,9.5,4,3,0,India
Hardik Pandya,3,0,28,2,9.33,8,1,3,India
Wayne Parnell,4,0,31,1,7.75,10,3,1,South Africa
Kagiso Rabada,4,0,44,1,11,7,4,2,South Africa
Lungi Ngidi,4,0,32,1,8,11,3,1,South Africa
Anrich Nortje,4,0,41,4,10.25,11,1,4,South Africa
Tabraiz Shamsi,4,0,36,1,9,8,2,2,South Africa
Shaheen Shah Afridi,3,0,14,3,4.66,11,2,0,Pakistan
Naseem Shah,3,0,19,1,6.33,10,1,1,Pakistan
Haris Rauf,3,0,44,1,14.66,2,7,1,Pakistan
Mohammad Wasim,2,0,13,1,6.5,3,1,0,Pakistan
Shadab Khan,2,0,16,2,8,5,1,1,Pakistan
Mohammad Nawaz,1,0,2,0,2,4,0,0,Pakistan
Josh Little,4,0,22,3,5.5,10,2,0,Ireland
Mark Adair,4,0,39,1,9.75,9,3,1,Ireland
Barry McCarthy,4,0,46,0,11.5,4,4,2,Ireland
Gareth Delany,4,0,30,2,7.5,11,3,1,Ireland
Fionn Hand,2,0,22,0,11,2,2,1,Ireland
George Dockrell,2,0,18,0,9,4,2,0,Ireland
Trent Boult,4,0,38,0,9.5,8,4,1,New Zealand
Tim Southee,4,0,29,2,7.25,8,2,1,New Zealand
Lockie Ferguson,4,0,22,3,5.5,10,1,0,New Zealand
Mitchell Santner,4,0,26,2,6.5,12,3,1,New Zealand
Ish Sodhi,4,0,31,2,7.75,10,0,2,New Zealand
Fazalhaq Farooqi,4,0,29,2,7.25,13,4,1,Afghanistan
Mujeeb Ur Rahman,4,0,42,1,10.5,5,4,1,Afghanistan
Naveen-ul-Haq,4,0,21,3,5.25,11,2,0,Afghanistan
Gulbadin Naib,3,0,31,0,10.33,6,3,2,Afghanistan
Rashid Khan,4,0,29,1,7.25,9,2,1,Afghanistan
Mohammad Nabi,1,0,14,0,14,1,1,1,Afghanistan
Josh Hazlewood,4,0,33,2,8.25,13,2,3,Australia
Pat Cummins,4,0,22,0,5.5,12,2,0,Australia
Marcus Stoinis,2,0,26,0,13,2,2,1,Australia
Kane Richardson,4,0,48,1,12,4,3,3,Australia
Adam Zampa,4,0,22,2,5.5,11,1,0,Australia
Cameron Green,2,0,13,0,6.5,7,1,1,Australia
Ben Stokes,3,0,24,1,8,8,1,2,England
Chris Woakes,3,0,24,1,8,5,3,0,England
Mark Wood,3,0,26,3,8.66,8,1,2,England
Sam Curran,4,0,27,1,6.75,10,2,1,England
Adil Rashid,4,0,16,1,4,11,0,0,England
Liam Livingstone,2,0,16,0,8,2,0,1,England
Moeen Ali,1,0,5,0,5,1,0,0,England
Maheesh Theekshana,4,0,22,0,5.5,11,1,0,Sri Lanka
Kasun Rajitha,3,0,40,0,13.33,4,5,1,Sri Lanka
Lahiru Kumara,3.4,0,24,2,6.54,11,3,0,Sri Lanka
Wanindu Hasaranga de Silva,4,0,23,2,5.75,11,1,1,Sri Lanka
Dhananjaya de Silva,4,0,24,2,6,7,1,0,Sri Lanka
